l1,aaa,lor,enroll,speaking,sex,family
Pashto,15,4,19,515,Female,Indo-European
Persian,0,22,19,495,Female,Indo-European
Russian,41,3,90,482,Female,Indo-European
Turkish,29,1,79,534,Female,Altaic
Spanish,30,2,82,513,Female,Indo-European
Romanian,27,1,86,524,Female,Indo-European
Persian,35,3,77,533,Female,Indo-European
Turkish,17,17,79,504,Female,Altaic
Serbian,29,5,85,531,Female,Indo-European
Spanish,30,12,82,526,Female,Indo-European
Portugese,25,2,97,582,Female,Indo-European
Persian,3,12,77,582,Female,Indo-European
Spanish,23,1,83,549,Female,Indo-European
Persian,30,2,19,495,Female,Indo-European
Persian,36,3,77,491,Female,Indo-European
German,22,0,101,539,Female,Indo-European
Persian,19,4,77,503,Female,Indo-European
French,21,2,113,548,Female,Indo-European
Persian,15,7,77,546,Female,Indo-European
Russian,28,2,96,550,Female,Indo-European
Norwegian,27,3,113,550,Female,Indo-European
Persian,24,3,77,508,Female,Indo-European
Polish,38,5,100,500,Female,Indo-European
Russian,24,0,90,527,Female,Indo-European
Turkish,21,11,79,497,Female,Altaic
Russian,32,2,90,511,Female,Indo-European
German,9,10,101,511,Female,Indo-European
Norwegian,26,1,113,581,Female,Indo-European
Russian,33,10,84,502,Female,Indo-European
Romanian,30,6,86,558,Female,Indo-European
Russian,9,11,84,598,Female,Indo-European
Persian,25,3,77,509,Female,Indo-European
Chinese,24,2,67,537,Female,Sino-Tibetan
Persian,45,4,77,493,Female,Indo-European
Serbian,39,0,85,514,Female,Indo-European
Persian,26,5,19,488,Female,Indo-European
Slovak,27,2,94,526,Female,Indo-European
Tagalog,24,2,83,485,Female,Austronesian
German,20,1,101,544,Female,Indo-European
Spanish,30,2,83,506,Female,Indo-European
Polish,26,1,100,557,Female,Indo-European
German,24,12,101,630,Female,Indo-European
Urdu,23,13,29,536,Female,Indo-European
Polish,38,2,100,502,Female,Indo-European
Serbian,13,13,85,495,Female,Indo-European
Russian,23,0,90,548,Female,Indo-European
Spanish,23,2,51,476,Female,Indo-European
Persian,25,1,19,519,Female,Indo-European
Spanish,31,1,86,547,Female,Indo-European
Persian,25,1,77,437,Female,Indo-European
French,48,2,113,532,Female,Indo-European
Indonesian,42,1,64,509,Female,Austronesian
English,27,1,94,574,Female,Indo-European
Polish,24,1,100,553,Female,Indo-European
Bulgarian,11,7,90,443,Female,Indo-European
Turkish,18,30,79,485,Female,Altaic
Russian,13,6,90,494,Female,Indo-European
Turkish,23,4,94,579,Female,Altaic
Serbian,33,1,85,484,Female,Indo-European
Indonesian,31,1,64,493,Female,Austronesian
Tamil,27,2,54,501,Female,Dravidian
German,26,1,101,608,Female,Indo-European
German,22,10,100,616,Female,Indo-European
Kurdish,21,4,47,500,Female,Indo-European
Romanian,26,1,86,484,Female,Indo-European
Indonesian,23,3,64,498,Female,Austronesian
French,30,2,113,520,Female,Indo-European
German,21,1,101,548,Female,Indo-European
Arabic,34,8,49,491,Female,Afro-Asiatic
Portugese,48,2,106,501,Female,Indo-European
Russian,40,3,92,519,Female,Indo-European
Romanian,37,3,86,457,Female,Indo-European
Czech,31,3,90,567,Female,Indo-European
German,18,7,64,532,Female,Indo-European
Polish,35,8,100,508,Female,Indo-European
English,29,2,94,540,Female,Indo-European
Hungarian,22,1,96,519,Female,Uralic
German,22,1,100,574,Female,Indo-European
German,27,3,101,546,Female,Indo-European
German,23,1,101,539,Female,Indo-European
Chinese,34,1,67,498,Female,Sino-Tibetan
Polish,19,4,100,559,Female,Indo-European
Chinese,25,2,67,501,Female,Sino-Tibetan
English,37,10,83,448,Female,Indo-European
Persian,18,3,77,534,Female,Indo-European
Russian,22,2,90,534,Female,Indo-European
Greek,24,3,102,536,Female,Indo-European
Chinese,26,10,67,441,Female,Sino-Tibetan
German,26,3,101,582,Female,Indo-European
Arabic,30,1,49,525,Female,Afro-Asiatic
French,34,2,113,477,Female,Indo-European
Persian,22,2,77,450,Female,Indo-European
Persian,20,9,77,498,Female,Indo-European
English,32,5,94,557,Female,Indo-European
Hungarian,28,5,96,485,Female,Uralic
Armenian,23,6,90,526,Female,Indo-European
English,22,3,105,544,Female,Indo-European
Romanian,34,3,86,498,Female,Indo-European
Persian,25,2,77,531,Female,Indo-European
Persian,20,4,19,540,Female,Indo-European
Persian,30,2,77,519,Female,Indo-European
Russian,24,2,90,567,Female,Indo-European
Persian,19,1,77,572,Female,Indo-European
German,20,1,101,550,Female,Indo-European
Persian,24,3,77,501,Female,Indo-European
Serbian,27,4,85,518,Female,Indo-European
German,20,1,101,528,Female,Indo-European
German,22,0,101,566,Female,Indo-European
Portugese,24,2,97,491,Female,Indo-European
Polish,21,1,100,505,Female,Indo-European
Arabic,21,3,49,555,Female,Afro-Asiatic
German,34,9,94,555,Female,Indo-European
Czech,23,3,90,528,Female,Indo-European
Spanish,35,2,118,449,Female,Indo-European
Serbian,36,6,85,498,Female,Indo-European
Czech,24,26,90,582,Female,Indo-European
Persian,28,3,77,476,Female,Indo-European
Turkish,26,1,79,511,Female,Altaic
Serbian,26,4,85,511,Female,Indo-European
Arabic,23,4,47,576,Female,Afro-Asiatic
French,28,2,113,490,Female,Indo-European
Spanish,31,6,118,505,Female,Indo-European
Turkish,26,3,100,539,Female,Altaic
German,18,1,101,607,Female,Indo-European
Tagalog,25,16,83,535,Female,Austronesian
Persian,26,4,77,488,Female,Indo-European
Tagalog,25,2,83,502,Female,Austronesian
Arabic,20,3,49,464,Female,Afro-Asiatic
Romanian,24,3,86,493,Female,Indo-European
English,42,4,105,555,Female,Indo-European
Turkish,30,1,79,507,Female,Altaic
English,42,3,120,543,Female,Indo-European
Afrikaans,25,6,93,562,Female,Indo-European
Persian,22,3,77,498,Female,Indo-European
Polish,22,3,100,520,Female,Indo-European
Turkish,27,1,79,480,Female,Altaic
Turkish,23,1,79,514,Female,Altaic
Russian,21,2,90,556,Female,Indo-European
Russian,27,1,90,608,Female,Indo-European
Arabic,43,2,47,474,Female,Afro-Asiatic
French,23,2,113,494,Female,Indo-European
Turkish,28,1,118,509,Female,Altaic
Spanish,21,7,118,512,Female,Indo-European
Polish,20,6,100,539,Female,Indo-European
Arabic,34,4,47,472,Female,Afro-Asiatic
Spanish,27,3,118,595,Female,Indo-European
Italian,32,1,99,583,Female,Indo-European
Polish,24,1,100,545,Female,Indo-European
Polish,27,3,100,545,Female,Indo-European
Russian,25,2,90,557,Female,Indo-European
Chinese,27,5,67,489,Female,Sino-Tibetan
Croatian,25,2,86,494,Female,Indo-European
Serbian,12,4,85,506,Female,Indo-European
Swedish,20,1,103,603,Female,Indo-European
Turkish,21,1,79,345,Female,Altaic
English,22,1,35,543,Female,Indo-European
English,27,9,83,528,Female,Indo-European
Arabic,20,29,49,551,Female,Afro-Asiatic
Turkish,31,4,79,488,Female,Altaic
Spanish,29,4,74,513,Female,Indo-European
Romanian,32,1,86,513,Female,Indo-European
English,31,1,94,523,Female,Indo-European
German,22,2,101,595,Female,Indo-European
Kurdish,23,3,47,482,Female,Indo-European
Chinese,28,1,67,494,Female,Sino-Tibetan
Polish,21,1,100,531,Female,Indo-European
Persian,46,3,77,500,Female,Indo-European
Persian,39,5,77,477,Female,Indo-European
Urdu,31,5,29,516,Female,Indo-European
German,40,0,101,547,Female,Indo-European
Russian,33,2,84,542,Female,Indo-European
French,25,2,113,553,Female,Indo-European
Romanian,25,2,86,488,Female,Indo-European
French,18,1,113,560,Female,Indo-European
Spanish,26,9,90,561,Female,Indo-European
English,23,4,105,504,Female,Indo-European
German,20,1,101,524,Female,Indo-European
Czech,24,1,90,551,Female,Indo-European
Finnish,30,2,111,560,Female,Uralic
Russian,25,2,90,523,Female,Indo-European
Azerbaijani,31,4,84,513,Female,Altaic
Lithuanian,24,2,90,491,Female,Indo-European
Afrikaans,32,2,93,562,Female,Indo-European
Persian,38,3,19,488,Female,Indo-European
Hungarian,28,1,96,542,Female,Uralic
Italian,32,6,99,489,Female,Indo-European
Persian,18,6,19,530,Female,Indo-European
Javanese,27,2,64,483,Female,Austronesian
Persian,27,3,77,499,Female,Indo-European
Japanese,35,1,101,464,Female,Japanese
French,24,8,113,560,Female,Indo-European
Armenian,23,10,88,500,Female,Indo-European
Russian,24,7,90,525,Female,Indo-European
Spanish,29,3,86,512,Female,Indo-European
Arabic,26,3,47,505,Female,Afro-Asiatic
Spanish,28,3,93,499,Female,Indo-European
German,37,1,101,569,Female,Indo-European
Turkish,24,2,79,536,Female,Altaic
Arabic,23,2,49,479,Female,Afro-Asiatic
Persian,33,3,19,535,Female,Indo-European
Portugese,25,2,106,458,Female,Indo-European
German,22,0,101,553,Female,Indo-European
Korean,30,1,97,458,Female,Korean
English,19,0,94,556,Female,Indo-European
Russian,23,1,90,505,Female,Indo-European
Spanish,25,1,86,530,Female,Indo-European
Polish,19,1,100,538,Female,Indo-European
Romanian,35,6,86,500,Female,Indo-European
Russian,29,2,84,503,Female,Indo-European
Swahili,23,5,48,501,Female,Niger-Congo
Arabic,23,3,49,537,Female,Afro-Asiatic
Spanish,28,7,118,496,Female,Indo-European
German,20,1,101,533,Female,Indo-European
Indonesian,18,1,64,472,Female,Austronesian
Greek,25,2,102,505,Female,Indo-European
Polish,21,3,113,496,Female,Indo-European
English,44,4,118,503,Female,Indo-European
Spanish,23,5,85,509,Female,Indo-European
Vietnamese,33,2,67,467,Female,Austro-Asiatic
German,23,2,94,525,Female,Indo-European
German,22,1,100,551,Female,Indo-European
Serbian,30,7,85,519,Female,Indo-European
Tagalog,32,6,83,496,Female,Austronesian
German,10,11,101,535,Female,Indo-European
Spanish,30,2,118,563,Female,Indo-European
Italian,34,5,99,492,Female,Indo-European
German,21,0,101,498,Female,Indo-European
Chinese,33,3,67,481,Female,Sino-Tibetan
Spanish,36,4,86,505,Female,Indo-European
French,21,16,113,617,Female,Indo-European
Hungarian,24,2,96,541,Female,Uralic
Slovak,34,2,90,491,Female,Indo-European
German,9,11,101,536,Female,Indo-European
Swedish,34,3,103,518,Female,Indo-European
Spanish,23,1,118,503,Female,Indo-European
Persian,32,1,19,429,Female,Indo-European
Russian,40,1,90,512,Female,Indo-European
English,25,16,111,519,Female,Indo-European
English,26,2,148,476,Female,Indo-European
Serbian,29,6,85,525,Female,Indo-European
Serbian,31,2,85,490,Female,Indo-European
Persian,24,2,77,478,Female,Indo-European
Indonesian,30,3,64,472,Female,Austronesian
Serbian,27,2,113,517,Female,Indo-European
Persian,24,2,77,472,Female,Indo-European
Arabic,19,2,49,488,Female,Afro-Asiatic
Polish,30,3,100,472,Female,Indo-European
Russian,26,5,90,509,Female,Indo-European
Swahili,30,6,11,468,Female,Niger-Congo
German,20,0,101,538,Female,Indo-European
Russian,38,1,84,512,Female,Indo-European
Spanish,35,2,85,541,Female,Indo-European
Lithuanian,32,3,90,512,Female,Indo-European
Albanian,36,5,85,480,Female,Indo-European
Vietnamese,26,2,67,519,Female,Austro-Asiatic
Spanish,26,2,106,531,Female,Indo-European
Czech,31,24,90,501,Female,Indo-European
Russian,29,1,90,568,Female,Indo-European
Japanese,34,4,101,460,Female,Japanese
Russian,26,5,90,508,Female,Indo-European
English,35,5,94,616,Female,Indo-European
Russian,34,2,84,543,Female,Indo-European
Indonesian,31,1,64,547,Female,Austronesian
Chinese,34,2,67,465,Female,Sino-Tibetan
German,20,2,101,565,Female,Indo-European
Serbian,18,4,85,593,Female,Indo-European
German,31,2,100,545,Female,Indo-European
German,36,2,101,540,Female,Indo-European
Turkish,21,2,79,476,Female,Altaic
Tagalog,31,2,83,484,Female,Austronesian
Turkish,18,2,79,521,Female,Altaic
English,27,3,94,543,Female,Indo-European
Spanish,23,14,82,528,Female,Indo-European
Bosnian,0,47,85,505,Female,Indo-European
Indonesian,25,2,64,485,Female,Austronesian
Danish,19,1,124,545,Female,Indo-European
Turkish,21,3,79,461,Female,Altaic
Czech,22,2,90,589,Female,Indo-European
Persian,33,3,77,515,Female,Indo-European
Portugese,26,3,95,497,Female,Indo-European
Persian,33,5,77,451,Female,Indo-European
Serbian,24,5,93,510,Female,Indo-European
Arabic,17,6,77,557,Female,Afro-Asiatic
Indonesian,30,3,64,499,Female,Austronesian
Finnish,24,1,111,525,Female,Uralic
Turkish,30,6,79,472,Female,Altaic
Bosnian,28,1,91,539,Female,Indo-European
German,19,1,101,534,Female,Indo-European
Serbian,33,3,85,490,Female,Indo-European
Spanish,31,2,82,490,Female,Indo-European
Russian,26,3,92,520,Female,Indo-European
Persian,25,5,77,460,Female,Indo-European
French,27,6,113,498,Female,Indo-European
Swedish,25,2,103,560,Female,Indo-European
Arabic,39,2,79,532,Female,Afro-Asiatic
Persian,22,4,19,521,Female,Indo-European
Persian,43,7,77,507,Female,Indo-European
Portugese,37,2,106,427,Female,Indo-European
German,27,1,101,589,Female,Indo-European
Arabic,21,0,49,555,Female,Afro-Asiatic
Igbo,29,1,35,494,Female,Niger-Congo
Romanian,31,2,86,503,Female,Indo-European
Turkish,18,1,118,592,Female,Altaic
German,25,12,101,539,Female,Indo-European
German,35,5,101,570,Female,Indo-European
Russian,29,3,90,551,Female,Indo-European
Turkish,31,1,79,532,Female,Altaic
Serbian,28,2,85,508,Female,Indo-European
Czech,23,2,90,558,Female,Indo-European
Russian,17,2,84,555,Female,Indo-European
Chinese,19,20,69,527,Female,Sino-Tibetan
Swedish,29,4,103,531,Female,Indo-European
Arabic,18,2,101,613,Female,Afro-Asiatic
Persian,30,5,77,538,Female,Indo-European
German,21,1,94,545,Female,Indo-European
Spanish,30,15,85,492,Female,Indo-European
Bulgarian,27,3,92,517,Female,Indo-European
Greek,22,2,102,526,Female,Indo-European
Estonian,24,4,90,553,Female,Uralic
German,18,1,99,541,Female,Indo-European
Czech,23,2,95,571,Female,Indo-European
Polish,26,0,100,556,Female,Indo-European
Hungarian,27,2,86,533,Female,Uralic
Persian,27,4,77,502,Female,Indo-European
Kurdish,23,2,47,572,Female,Indo-European
Serbian,25,6,85,549,Female,Indo-European
Arabic,18,1,19,594,Female,Afro-Asiatic
Russian,35,3,90,500,Female,Indo-European
Norwegian,25,10,113,539,Female,Indo-European
Italian,29,1,99,495,Female,Indo-European
Persian,28,8,77,502,Female,Indo-European
Croatian,22,1,85,518,Female,Indo-European
Persian,34,7,77,507,Female,Indo-European
German,27,3,101,546,Female,Indo-European
German,19,9,101,489,Female,Indo-European
German,33,2,118,514,Female,Indo-European
Chinese,22,3,67,532,Female,Sino-Tibetan
Turkish,29,4,79,510,Female,Altaic
Urdu,17,2,29,490,Female,Indo-European
Spanish,41,6,83,481,Female,Indo-European
Serbian,44,5,85,473,Female,Indo-European
Turkish,17,5,79,505,Female,Altaic
Russian,25,2,90,563,Female,Indo-European
Malay,23,2,100,537,Female,Austronesian
Persian,31,4,77,461,Female,Indo-European
Arabic,25,7,47,527,Female,Afro-Asiatic
Turkish,22,15,79,460,Female,Altaic
German,21,0,101,535,Female,Indo-European
French,18,1,109,552,Female,Indo-European
Persian,18,3,77,502,Female,Indo-European
Latvian,25,0,99,535,Female,Indo-European
Russian,21,1,90,544,Female,Indo-European
Portugese,26,13,106,448,Female,Indo-European
Arabic,21,2,79,489,Female,Afro-Asiatic
Arabic,25,2,49,555,Female,Afro-Asiatic
Romanian,26,4,86,533,Female,Indo-European
Arabic,28,2,67,615,Female,Afro-Asiatic
Spanish,26,1,118,482,Female,Indo-European
Russian,25,1,90,476,Female,Indo-European
Russian,21,4,84,538,Female,Indo-European
Russian,25,2,90,555,Female,Indo-European
Persian,33,3,19,504,Female,Indo-European
Russian,33,1,90,475,Female,Indo-European
Polish,20,6,100,524,Female,Indo-European
Arabic,18,2,49,499,Female,Afro-Asiatic
English,22,5,100,528,Female,Indo-European
Spanish,34,3,86,556,Female,Indo-European
Hungarian,20,10,96,576,Female,Uralic
Romanian,29,3,86,499,Female,Indo-European
Italian,42,10,99,490,Female,Indo-European
Swedish,26,3,103,565,Female,Indo-European
Turkish,34,10,79,505,Female,Altaic
English,30,2,101,489,Female,Indo-European
Portugese,25,2,106,479,Female,Indo-European
Romanian,29,3,86,557,Female,Indo-European
Swedish,19,3,103,622,Female,Indo-European
Albanian,18,2,78,490,Female,Indo-European
Persian,34,4,19,510,Female,Indo-European
Spanish,26,2,118,499,Female,Indo-European
Persian,30,4,19,509,Female,Indo-European
Arabic,23,1,49,465,Female,Afro-Asiatic
Serbian,31,4,85,530,Female,Indo-European
Serbian,36,3,85,492,Female,Indo-European
Tagalog,29,12,83,487,Female,Austronesian
German,19,1,101,567,Female,Indo-European
Turkish,18,1,79,534,Female,Altaic
Serbian,26,2,85,523,Female,Indo-European
Arabic,24,10,79,508,Female,Afro-Asiatic
Arabic,28,17,79,513,Female,Afro-Asiatic
Arabic,20,1,49,504,Female,Afro-Asiatic
Arabic,20,1,49,500,Female,Afro-Asiatic
Chinese,21,7,67,481,Female,Sino-Tibetan
German,33,3,101,543,Female,Indo-European
German,26,2,100,548,Female,Indo-European
Persian,29,7,77,495,Female,Indo-European
Czech,20,1,90,564,Female,Indo-European
Arabic,25,4,49,497,Female,Afro-Asiatic
Chinese,26,7,67,557,Female,Sino-Tibetan
English,33,12,105,548,Female,Indo-European
German,19,1,101,611,Female,Indo-European
Arabic,26,8,79,489,Female,Afro-Asiatic
French,34,1,113,502,Female,Indo-European
French,27,4,94,557,Female,Indo-European
Serbian,39,2,85,496,Female,Indo-European
Lithuanian,25,1,90,518,Female,Indo-European
Hindi,28,0,54,533,Female,Indo-European
Latvian,21,3,99,519,Female,Indo-European
Hungarian,34,8,96,536,Female,Uralic
Serbian,33,5,85,541,Female,Indo-European
Romanian,19,1,86,552,Female,Indo-European
Czech,32,2,90,520,Female,Indo-European
Hungarian,25,3,96,539,Female,Uralic
Russian,22,1,101,515,Female,Indo-European
Finnish,32,2,111,523,Female,Uralic
Chinese,33,16,82,471,Female,Sino-Tibetan
Portugese,25,1,106,510,Female,Indo-European
Russian,36,1,90,496,Female,Indo-European
Arabic,28,11,49,434,Female,Afro-Asiatic
Chinese,25,4,67,499,Female,Sino-Tibetan
Spanish,19,6,85,577,Female,Indo-European
Persian,27,2,77,523,Female,Indo-European
Serbian,42,0,85,524,Female,Indo-European
Polish,24,1,100,502,Female,Indo-European
Russian,29,2,90,526,Female,Indo-European
Turkish,17,2,101,537,Female,Altaic
Danish,23,1,124,545,Female,Indo-European
German,28,0,101,589,Female,Indo-European
English,29,1,69,507,Female,Indo-European
English,37,1,94,543,Female,Indo-European
Russian,28,7,84,494,Female,Indo-European
Russian,34,8,90,499,Female,Indo-European
Russian,31,2,90,502,Female,Indo-European
Italian,17,1,99,525,Female,Indo-European
Urdu,30,7,29,506,Female,Indo-European
Turkish,24,2,79,593,Female,Altaic
Serbian,24,5,85,526,Female,Indo-European
Polish,27,2,100,528,Female,Indo-European
Chinese,26,11,67,486,Female,Sino-Tibetan
Indonesian,36,4,64,507,Female,Austronesian
Arabic,25,2,83,472,Female,Afro-Asiatic
Norwegian,34,1,113,560,Female,Indo-European
Serbian,48,4,85,503,Female,Indo-European
Amharic,37,2,25,499,Female,Afro-Asiatic
Arabic,28,3,49,508,Female,Afro-Asiatic
Polish,26,1,100,527,Female,Indo-European
Russian,31,6,84,539,Female,Indo-European
Persian,29,11,77,531,Female,Indo-European
Spanish,25,4,85,479,Female,Indo-European
Bulgarian,26,3,90,509,Female,Indo-European
Ukranian,27,1,90,547,Female,Indo-European
Russian,16,3,90,530,Female,Indo-European
Spanish,20,1,118,518,Female,Indo-European
Danish,29,2,124,543,Female,Indo-European
Serbian,20,9,85,615,Female,Indo-European
Persian,23,3,19,498,Female,Indo-European
Norwegian,23,2,113,591,Female,Indo-European
Spanish,21,6,79,562,Female,Indo-European
Polish,38,2,100,525,Female,Indo-European
Tagalog,40,2,83,508,Female,Austronesian
Turkish,21,1,79,491,Female,Altaic
Serbian,20,3,85,519,Female,Indo-European
Kurdish,27,4,47,533,Female,Indo-European
German,25,1,101,598,Female,Indo-European
Russian,44,3,90,542,Female,Indo-European
Persian,28,3,77,472,Female,Indo-European
Chinese,22,1,67,530,Female,Sino-Tibetan
Arabic,22,6,49,516,Female,Afro-Asiatic
Polish,21,5,100,535,Female,Indo-European
Chinese,18,3,67,373,Female,Sino-Tibetan
Russian,25,0,84,490,Female,Indo-European
Hungarian,24,14,96,639,Female,Uralic
German,27,0,101,582,Female,Indo-European
Serbian,16,2,85,543,Female,Indo-European
Turkish,20,2,79,518,Female,Altaic
Russian,37,3,90,509,Female,Indo-European
Serbian,35,3,85,515,Female,Indo-European
Slovak,29,1,90,564,Female,Indo-European
English,23,2,94,542,Female,Indo-European
Kurdish,18,4,47,502,Female,Indo-European
Turkish,13,3,79,521,Female,Altaic
Russian,40,2,90,515,Female,Indo-European
German,24,1,101,489,Female,Indo-European
Serbian,25,2,89,507,Female,Indo-European
French,33,1,109,531,Female,Indo-European
German,22,2,101,623,Female,Indo-European
Arabic,21,3,49,472,Female,Afro-Asiatic
Indonesian,25,1,64,542,Female,Austronesian
Italian,32,3,99,536,Female,Indo-European
Persian,24,9,77,483,Female,Indo-European
Indonesian,19,1,64,493,Female,Austronesian
German,26,2,101,608,Female,Indo-European
Serbian,28,1,85,522,Female,Indo-European
Persian,36,2,77,488,Female,Indo-European
Romanian,21,2,90,522,Female,Indo-European
Bulgarian,21,5,90,557,Female,Indo-European
Italian,23,0,94,590,Female,Indo-European
English,23,3,27,520,Female,Indo-European
English,29,3,105,506,Female,Indo-European
German,19,1,101,564,Female,Indo-European
Portugese,20,2,106,526,Female,Indo-European
Turkish,19,2,118,594,Female,Altaic
Persian,22,4,19,474,Female,Indo-European
Spanish,30,2,88,515,Female,Indo-European
English,31,1,148,515,Female,Indo-European
Arabic,21,2,67,519,Female,Afro-Asiatic
Kinyarwanda,24,4,16,505,Female,Niger-Congo
Romanian,29,5,86,575,Female,Indo-European
German,61,3,101,523,Female,Indo-European
Spanish,26,10,118,550,Female,Indo-European
Arabic,19,2,49,521,Female,Afro-Asiatic
Armenian,19,2,67,534,Female,Indo-European
Persian,24,3,19,510,Female,Indo-European
Russian,29,1,90,521,Female,Indo-European
German,31,3,101,597,Female,Indo-European
Spanish,26,0,93,470,Female,Indo-European
Arabic,27,4,49,509,Female,Afro-Asiatic
Indonesian,42,4,64,464,Female,Austronesian
Spanish,29,2,86,528,Female,Indo-European
Spanish,22,5,118,598,Female,Indo-European
German,21,0,101,522,Female,Indo-European
English,20,1,93,498,Female,Indo-European
Chinese,24,6,67,517,Female,Sino-Tibetan
Persian,31,3,77,504,Female,Indo-European
Spanish,39,2,118,478,Female,Indo-European
Spanish,37,3,74,497,Female,Indo-European
German,23,1,101,545,Female,Indo-European
Rundi,21,3,13,511,Female,Niger-Congo
Serbian,26,4,85,517,Female,Indo-European
Persian,47,6,19,521,Female,Indo-European
Russian,27,2,96,511,Female,Indo-European
Serbian,20,2,85,500,Female,Indo-European
Persian,22,1,77,494,Female,Indo-European
Kurdish,29,1,77,472,Female,Indo-European
German,21,0,101,554,Female,Indo-European
Arabic,22,1,49,529,Female,Afro-Asiatic
Persian,36,2,77,505,Female,Indo-European
Turkish,29,5,79,523,Female,Altaic
Russian,33,5,90,502,Female,Indo-European
Russian,26,4,90,513,Female,Indo-European
Czech,21,2,90,522,Female,Indo-European
Russian,39,3,90,496,Female,Indo-European
German,36,0,101,543,Female,Indo-European
Arabic,28,8,49,466,Female,Afro-Asiatic
Serbian,17,3,85,538,Female,Indo-European
Persian,22,2,77,516,Female,Indo-European
Romanian,25,6,86,497,Female,Indo-European
Serbian,17,3,85,545,Female,Indo-European
Russian,19,2,88,514,Female,Indo-European
Portugese,23,5,97,537,Female,Indo-European
Finnish,27,1,111,540,Female,Uralic
Spanish,34,5,101,524,Female,Indo-European
Indonesian,24,2,64,509,Female,Austronesian
Spanish,25,2,118,523,Female,Indo-European
French,20,2,113,564,Female,Indo-European
Serbian,29,5,85,552,Female,Indo-European
Indonesian,24,1,64,548,Female,Austronesian
Spanish,44,3,86,589,Female,Indo-European
Serbian,22,3,85,532,Female,Indo-European
Chinese,17,14,82,488,Female,Sino-Tibetan
Turkish,37,5,79,517,Female,Altaic
Polish,19,3,100,575,Female,Indo-European
Russian,26,6,90,563,Female,Indo-European
Chinese,21,29,67,523,Female,Sino-Tibetan
Ukranian,27,1,90,567,Female,Indo-European
Turkish,22,1,101,514,Female,Altaic
Russian,34,10,84,473,Female,Indo-European
Tagalog,28,3,83,471,Female,Austronesian
Serbian,28,2,89,472,Female,Indo-European
Persian,24,2,77,499,Female,Indo-European
Serbian,29,5,85,555,Female,Indo-European
Hungarian,29,1,96,579,Female,Uralic
Catalan,27,2,118,556,Female,Indo-European
Arabic,23,2,90,565,Female,Afro-Asiatic
Somali,31,3,8,472,Female,Afro-Asiatic
Persian,27,1,19,525,Female,Indo-European
Russian,22,3,90,557,Female,Indo-European
Spanish,43,11,66,468,Female,Indo-European
Indonesian,30,1,64,509,Female,Austronesian
Arabic,18,3,49,544,Female,Afro-Asiatic
German,21,0,101,541,Female,Indo-European
Arabic,24,5,47,480,Female,Afro-Asiatic
German,20,1,101,519,Female,Indo-European
Armenian,22,5,84,514,Female,Indo-European
Portugese,28,2,106,513,Female,Indo-European
Russian,34,1,90,485,Female,Indo-European
Arabic,26,3,8,493,Female,Afro-Asiatic
French,22,1,113,509,Female,Indo-European
Hungarian,21,1,96,599,Female,Uralic
Persian,17,7,19,526,Female,Indo-European
Czech,46,1,90,514,Female,Indo-European
English,28,3,105,523,Female,Indo-European
Polish,28,1,100,532,Female,Indo-European
German,40,2,101,569,Female,Indo-European
English,24,1,94,541,Female,Indo-European
Serbian,34,4,85,506,Female,Indo-European
Spanish,46,2,85,493,Female,Indo-European
French,29,9,109,518,Female,Indo-European
Indonesian,35,5,64,501,Female,Austronesian
Persian,25,8,77,537,Female,Indo-European
Kurdish,17,2,47,514,Female,Indo-European
Serbian,26,5,85,576,Female,Indo-European
German,0,16,101,603,Female,Indo-European
German,20,1,101,553,Female,Indo-European
Norwegian,26,3,113,594,Female,Indo-European
Russian,30,5,100,535,Female,Indo-European
Serbian,30,2,85,552,Female,Indo-European
Armenian,40,3,90,493,Female,Indo-European
German,29,0,101,628,Female,Indo-European
Spanish,31,5,118,554,Female,Indo-European
Arabic,24,2,79,554,Female,Afro-Asiatic
Russian,27,9,100,524,Female,Indo-European
English,19,4,111,594,Female,Indo-European
Russian,45,9,90,516,Female,Indo-European
Serbian,27,2,85,509,Female,Indo-European
Hungarian,30,0,96,544,Female,Uralic
English,40,4,94,499,Female,Indo-European
Portugese,31,3,106,471,Female,Indo-European
Serbian,25,2,85,521,Female,Indo-European
Chinese,32,1,69,448,Female,Sino-Tibetan
Indonesian,28,2,64,585,Female,Austronesian
Spanish,19,6,82,483,Female,Indo-European
English,29,8,101,635,Female,Indo-European
Chinese,40,12,67,488,Female,Sino-Tibetan
German,22,0,101,553,Female,Indo-European
Polish,23,2,100,501,Female,Indo-European
Bulgarian,24,5,90,489,Female,Indo-European
Serbian,18,6,85,510,Female,Indo-European
Persian,18,2,77,527,Female,Indo-European
Polish,19,6,100,530,Female,Indo-European
French,18,4,113,514,Female,Indo-European
Indonesian,29,1,64,496,Female,Austronesian
English,30,3,93,595,Female,Indo-European
Polish,26,3,100,541,Female,Indo-European
Danish,21,1,124,548,Female,Indo-European
Polish,22,10,100,573,Female,Indo-European
Armenian,28,3,47,567,Female,Indo-European
Ukranian,22,3,90,529,Female,Indo-European
Russian,33,1,90,571,Female,Indo-European
Norwegian,29,1,113,543,Female,Indo-European
Serbian,46,5,85,458,Female,Indo-European
Persian,26,0,19,521,Female,Indo-European
Turkish,21,5,79,522,Female,Altaic
Romanian,26,4,86,556,Female,Indo-European
German,16,4,101,549,Female,Indo-European
Arabic,29,1,109,529,Female,Afro-Asiatic
